601;Josh Gorges;BUF;BUF;D;66;1;5;6;3;10;13;3900000;630;0
602;Adrian Kempe;NYI;LAK;L;25;2;4;6;4;4;8;1600000;690;0
603;Brandon Montour;ANA;ANA;D;27;2;4;6;6;8;14;925000;616;0
604;Eric Gryba;EDM;EDM;D;40;2;4;6;6;8;14;900000;617;0
605;Klas Dahlbeck;CAR;CAR;D;43;2;4;6;6;8;14;850000;618;0
606;Gemel Smith;CGY;DAL;C;17;3;3;6;6;3;9;650000;680;0
607;Jakub Vrana;PHI;WSH;L;21;3;3;6;6;3;9;8250000;681;0
608;Timo Meier;BOS;SJS;R;34;3;3;6;6;3;9;775000;682;0
609;J.T. Brown;NYR;TBL;R;64;3;3;6;6;3;9;2625000;683;0
610;Evan Rodrigues;DAL;BUF;L;30;4;2;6;8;2;10;2200000;671;0
611;Roman Lyubimov;NAS;PHI;L;47;4;2;6;8;2;10;4000000;672;0
612;Cody McLeod;NAS;COL,;L;59;5;1;6;10;1;11;1333000;659;0
613;Zach Redmond;MTL;MTL;D;16;0;5;5;0;10;10;613000;673;0
614;Seth Griffith;CLB;TOR,;C;24;0;5;5;0;5;5;7425000;735;0
615;Cody Goloubef;BUF;COL;D;33;0;5;5;0;10;10;0;674;0
616;John-Michael Liles;BOS;BOS;D;36;0;5;5;0;10;10;0;675;0
617;Brendan Gaunce;VAN;VAN;C;57;0;5;5;0;5;5;750000;736;0
618;Julius Honka;EDM;DAL;D;16;1;4;5;3;8;11;675000;660;0
619;Taylor Chorney;WAS;WSH;D;18;1;4;5;3;8;11;800000;661;0
620;Tom Gilbert;WPG;LAK;D;18;1;4;5;3;8;11;5750000;662;0
621;Andrej Nestrasil;TBL;CAR;C;19;1;4;5;2;4;6;3500000;707;0
622;Garnet Hathaway;CGY;CGY;R;26;1;4;5;2;4;6;650000;708;0
623;Michael McCarron;MTL;MTL;R;31;1;4;5;2;4;6;1076000;709;0
624;Tyler Myers;WPG;WPG;D;11;2;3;5;6;6;12;5500000;645;0
625;Kyle Connor;LAK;WPG;L;20;2;3;5;4;3;7;1600000;697;0
